,PLAYER,TIME,# MOVES,# EXPLORED,OUTCOME,HAS WIN
0,0,28.24550747871399,16,82353,Termination.CHECKMATE,1
1,1,124.7649073600769,15,375004,Termination.CHECKMATE,0
0,0,470.6490457057953,129,645734,Termination.SEVENTYFIVE_MOVES,0
1,1,5496.353094339371,129,7187422,Termination.SEVENTYFIVE_MOVES,0
0,0,136.984849691391,73,281996,Termination.CHECKMATE,0
1,1,1585.500960111618,73,2905009,Termination.CHECKMATE,1
0,0,268.33978033065796,96,465033,Termination.CHECKMATE,1
1,1,2819.147221326828,95,4476390,Termination.CHECKMATE,0
0,0,11.772942304611206,10,40844,Termination.CHECKMATE,1
1,1,70.56575322151184,9,240189,Termination.CHECKMATE,0
0,0,32.97367072105408,18,90098,Termination.CHECKMATE,1
1,1,158.97147154808044,17,456086,Termination.CHECKMATE,0
0,0,513.8151800632477,149,648508,Termination.SEVENTYFIVE_MOVES,0
1,1,4668.3889355659485,149,5784191,Termination.SEVENTYFIVE_MOVES,0
0,0,281.77560663223267,111,419982,Termination.SEVENTYFIVE_MOVES,0
1,1,2335.70729136467,111,3314470,Termination.SEVENTYFIVE_MOVES,0
0,0,4.8443615436553955,7,17837,Termination.CHECKMATE,1
1,1,21.736817121505737,6,76745,Termination.CHECKMATE,0
0,0,183.85342669487,74,352038,Termination.CHECKMATE,1
1,1,2036.7202043533325,73,3806576,Termination.CHECKMATE,0
