,PLAYER,TIME,# MOVES,# EXPLORED,OUTCOME,HAS WIN
0,0,3703.1702060699463,49,7330843,Termination.CHECKMATE,0
1,1,3351.2124462127686,49,7091687,Termination.CHECKMATE,1
0,0,259.0567307472229,8,726584,Termination.CHECKMATE,1
1,1,189.91497206687927,7,616284,Termination.CHECKMATE,0
0,0,3927.5030250549316,51,8453236,Termination.CHECKMATE,1
1,1,2241.3818802833557,50,5220322,Termination.CHECKMATE,0
0,0,1028.8484661579132,35,2589752,Termination.FIVEFOLD_REPETITION,0
1,1,666.8274660110474,35,1879750,Termination.FIVEFOLD_REPETITION,0
0,0,4828.537593364716,56,9957282,Termination.CHECKMATE,1
1,1,3019.255309343338,55,6815579,Termination.CHECKMATE,0
0,0,3604.2083990573883,127,7104019,Termination.CHECKMATE,1
1,1,3009.9058709144592,126,6550924,Termination.CHECKMATE,0
0,0,1295.6039638519287,30,3120336,Termination.CHECKMATE,0
1,1,945.2406284809113,30,2578532,Termination.CHECKMATE,1
0,0,1751.4774360656738,43,3991059,Termination.CHECKMATE,0
1,1,1291.229006767273,43,3235682,Termination.CHECKMATE,1
0,0,5415.053800344467,159,7571964,Termination.CHECKMATE,1
1,1,3878.2008283138275,158,5365932,Termination.CHECKMATE,0
0,0,5868.323884487152,68,11156843,Termination.CHECKMATE,1
1,1,3641.8470780849457,67,7691726,Termination.CHECKMATE,0
0,0,45.486180782318115,4,141592,Termination.CHECKMATE,1
1,1,21.909231662750244,3,73747,Termination.CHECKMATE,0
