,PLAYER,TIME,# MOVES,# EXPLORED,OUTCOME,HAS WIN
0,0,1963.248089313507,36,4620403,Termination.CHECKMATE,0
1,1,1689.8421952724457,36,3850238,Termination.CHECKMATE,1
0,0,2324.8842096328735,149,5212456,Termination.CHECKMATE,0
1,1,1989.9237990379333,149,4212957,Termination.CHECKMATE,1
0,0,2996.5464861392975,74,6349444,Termination.CHECKMATE,1
1,1,2639.471451997757,73,5303738,Termination.CHECKMATE,0
0,0,1056.908519744873,30,2370602,Termination.CHECKMATE,0
1,1,1068.893636226654,30,2355409,Termination.CHECKMATE,1
0,0,4966.5299327373505,47,10040232,Termination.CHECKMATE,0
1,1,4968.470996379852,47,9839104,Termination.CHECKMATE,1
0,0,3223.866316318512,43,6846299,Termination.CHECKMATE,1
1,1,2721.4529287815094,42,5572324,Termination.CHECKMATE,0
0,0,2413.5004148483276,20,5767568,Termination.CHECKMATE,1
1,1,1676.5978209972382,19,3949351,Termination.CHECKMATE,0
0,0,1934.2125732898712,72,4274893,Termination.CHECKMATE,1
1,1,1395.7567911148071,71,2864099,Termination.CHECKMATE,0
0,0,2216.511530160904,47,4999058,Termination.CHECKMATE,1
1,1,2514.6098742485046,46,5393872,Termination.CHECKMATE,0
0,0,6603.960440158844,45,12807744,Termination.CHECKMATE,0
1,1,6322.103954315186,45,11842667,Termination.CHECKMATE,1
